title,url,type
Fuji Nevada 27.5 1.7 Hardtail Bike 2021,/fuji-nevada-27-5-1-7-hardtail-bike-2021/rp-prod201655,mountain
Fuji Nevada 27.5 1.9 Hardtail Bike 2021,/fuji-nevada-27-5-1-9-hardtail-bike-2021/rp-prod201686,mountain
Fuji Nevada 29 1.7 Hardtail Bike 2021,/fuji-nevada-29-1-7-hardtail-bike-2021/rp-prod201654,mountain
Fuji Nevada 29 1.9 Hardtail Bike 2021,/fuji-nevada-29-1-9-hardtail-bike-2021/rp-prod201656,mountain
GT Aggressor Comp Hardtail Bike 2021,/gt-aggressor-comp-hardtail-bike-2021/rp-prod200304,mountain
GT Aggressor Expert 29 Hardtail Bike 2021,/gt-aggressor-expert-29-hardtail-bike-2021/rp-prod200302,mountain
GT Aggressor Sport Hardtail Bike 2021,/gt-aggressor-sport-hardtail-bike-2021/rp-prod200320,mountain
GT Avalanche Comp Hardtail Bike 2021,/gt-avalanche-comp-hardtail-bike-2021/rp-prod200319,mountain
GT Avalanche Elite Hardtail Bike 2021,/gt-avalanche-elite-hardtail-bike-2021/rp-prod200317,mountain
GT Avalanche Expert Hardtail Bike 2021,/gt-avalanche-expert-hardtail-bike-2021/rp-prod200305,mountain
GT Avalanche Sport Hardtail Bike 2021,/gt-avalanche-sport-hardtail-bike-2021/rp-prod200318,mountain
GT Fury Expert Suspension Bike 2021,/gt-fury-expert-suspension-bike-2021/rp-prod200336,mountain
GT LaBomba 26 Dirtjump Bike 2021,/gt-labomba-26-dirtjump-bike-2021/rp-prod200321,mountain
GT LaBomba 26 Pro Dirtjump Bike 2021,/gt-labomba-26-pro-dirtjump-bike-2021/rp-prod200314,mountain
GT Zaskar LT AL Elite Hardtail Bike 2021,/gt-zaskar-lt-al-elite-hardtail-bike-2021/rp-prod197577,mountain
GT Zaskar LT AL Expert Hardtail Bike 2021,/gt-zaskar-lt-al-expert-hardtail-bike-2021/rp-prod197576,mountain
Kona Fire Mountain Hardtail Bike 2021,/kona-fire-mountain-hardtail-bike-2021/rp-prod200011,mountain
Kona Kahuna Hardtail Bike 2021,/kona-kahuna-hardtail-bike-2021/rp-prod200015,mountain
Kona Lana'l Hardtail Bike 2021,/kona-lana-l-hardtail-bike-2021/rp-prod200019,mountain
Kona Lava Dome Hardtail Bike 2021,/kona-lava-dome-hardtail-bike-2021/rp-prod200008,mountain
Kona Mahuna Hardtail Bike 2021,/kona-mahuna-hardtail-bike-2021/rp-prod200023,mountain
Kona Process 134 27.5 Suspension Bike 2021,/kona-process-134-27-5-suspension-bike-2021/rp-prod200017,mountain
Kona Process 134 AL 29 Suspension Bike 2021,/kona-process-134-al-29-suspension-bike-2021/rp-prod200021,mountain
Kona Unit Hardtail Bike 2021,/kona-unit-hardtail-bike-2021/rp-prod200022,mountain
Kona Unit X Hardtail Bike 2021,/kona-unit-x-hardtail-bike-2021/rp-prod200024,mountain
Kona Wo Fat Bike 2021,/kona-wo-fat-bike-2021/rp-prod200010,mountain
NS Bikes Define AL 130 Suspension Bike 2020,/ns-bikes-define-al-130-suspension-bike-2020/rp-prod187076,mountain
NS Bikes Define AL 150 Suspension Bike 2020,/ns-bikes-define-al-150-suspension-bike-2020/rp-prod187099,mountain
NS Bikes Synonym 1 Suspension Bike 2020,/ns-bikes-synonym-1-suspension-bike-2020/rp-prod187110,mountain
NS Bikes Synonym 2 Suspension Bike 2020,/ns-bikes-synonym-2-suspension-bike-2020/rp-prod187098,mountain
NS Bikes Synonym Race 1 Suspension Bike 2020,/ns-bikes-synonym-race-1-suspension-bike-2020/rp-prod187089,mountain
NS Bikes Synonym RC 1 Suspension Bike 2021,/ns-bikes-synonym-rc-1-suspension-bike-2021/rp-prod197950,mountain
NS Bikes Synonym RC 2 Suspension Bike 2021,/ns-bikes-synonym-rc-2-suspension-bike-2021/rp-prod197940,mountain
NS Bikes Synonym TR 2 Suspension Bike 2021,/ns-bikes-synonym-tr-2-suspension-bike-2021/rp-prod197912,mountain
Nukeproof Dissent 275 Comp Bike (GX DH) 2021,/nukeproof-dissent-275-comp-bike-gx-dh-2021/rp-prod196827,mountain
Nukeproof Dissent 275 Comp DH Bike (GX) 2020,/nukeproof-dissent-275-comp-dh-bike-gx-2020/rp-prod180007,mountain
