Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Cube;Aim SL 29 Hardtail Bike 2021;599;Mountain;14.4 kg;"48cm (19""), 59cm (23""), 43.5cm (17""), 53cm (21"")";Shimano RD-M3100, 9-Speed;27 Speed;SR Suntour XCM RL Disc, 100mm, Remote Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160)
GT;Avalanche Comp Hardtail Bike 2021;599,99;Mountain;------;M, L, S, XL;Shimano Deore, 10-Speed;10 Speed;SR Suntour XCM-DS, 100mm, Hydraulic Lockout and Preload adjust, Coil;Shimano MT200 Hydro Disc, 160/160mm RT10 Rotors
Fuji;Nevada 27.5 1.7 Hardtail Bike 2021;649,99;Mountain;------;"43cm (17""), 38.5cm (15""), 48cm (19"")";Shimano Acera;24 Speed;SR Suntour SF19-XCT30-HLO-DS-27.5, hydraulic lockout, 100mm;Tektro HD-M275, 180/160mm rotors
Fuji;Nevada 29 1.7 Hardtail Bike 2021;649,99;Mountain;------;"43.5cm (17""), 19"", 21""";Shimano Acera;24 Speed;SR Suntour SF19-XCT30-HLO-DS-29, hydraulic lockout, 100mm;Tektro HD-M275, 180/160mm rotors
GT;LaBomba 26 Dirtjump Bike 2021;649,99;Mountain;------;M, L;------;Single Speed;"RST Dirt-T, 26"" AL Lowers, Cr-Mo Steer, 100mm Travel, Cr-Mo Stanchion Black";Promax Mech Disc, 160/160mm Rotors
Kona;Fire Mountain Hardtail Bike 2021;669;Mountain;------;S, XL, M, L;Microshift Advent W/ Clutch;9 Speed;Suntour XCR 32 LO-R Coil Spring 100mm;Tektro TR180 180mm
Cube;Aim SL 27.5 Allroad Hardtail Bike 2021;699;Mountain;16.7 kg;"36cm (14""), 40cm (16"")";Shimano RD-M3100, 9-Speed;27 Speed;SR Suntour XCM RL Disc, 100mm, Remote Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160)
Cube;Aim SL 29 Allroad Hardtail Bike 2021;699;Mountain;16.7 kg;"43.5cm (17""), 53cm (21""), 59cm (23""), 48cm (19"")";Shimano RD-M3100, 9-Speed;27 Speed;SR Suntour XCM RL Disc, 100mm, Remote Lockout;Shimano BR-MT200, Hydr.Disc Brake (160/160)
Cube;Analog 29 Hardtail Bike 2021;699;Mountain;14.1kg;"48cm (19""), 53cm (21""), 43.5cm (17"")";SRAM SX Eagle, 12-Speed;12 Speed;SR Suntour XCM RL Disc, 100mm, Remote Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160)
GT;Avalanche Elite Hardtail Bike 2021;699,99;Mountain;------;L, M, S, XL;Shimano Deore, 11-Speed;11 Speed;SR Suntour XCR-RL-R, 120mm, Hydraulic Lockout, Air Spring, Rebound Adjust;Shimano MT200 Hydro Disc, 160/160mm RT10 Rotors
Vitus;Nucleus 27 VRS Mountain Bike 2021;699,99;Mountain;TBC;M, XL, S, L;Shimano Deore M5120, Shadow Plus, Long Cage, 10 Speed;10 Speed;"SR Suntour xCR32 Boost Air Lor Ds 27.5"" Tapered Alloy Steerer, 120mm Travel, Post Mount Disc Brake Mounts, 110mm x 15mm Thru Axle";Tektro Hd-m290
